#Pin Out file generated by Lattice Diamond Version 1.4.1.91
#Generated at Fri Mar 30 06:47:36 2012
#DEVICE=LCMXO2280C
#PACKAGE=FTBGA256
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
83, VCCIO6, , 6, -, , VCCIO6, , +, 
84, GNDIO6, , , -, , GND, , -, 
85, -, , , -, , -, , -, 
86, -, , , -, , -, , -, 
87, GNDIO5, , , -, , GND, , +, 
88, VCCIO5, , 5, VCCJ, , VCCIO5, , +, 
89, PL20B, IO, 6, -, COMP_OF_PL20A, -, , -, 
90, TMS, I, 5, TMS, , P4, , +, 
91, PB2A, IO, 5, -, TRUE_OF_PB2B, P2, , +, 
92, PB2B, IO, 5, -, COMP_OF_PB2A, P3, , +, 
93, PB2C, IO, 5, -, TRUE_OF_PB2D, N5, , +, 
94, TCK, I, 5, TCK, , R3, , +, 
95, PB2D, IO, 5, -, COMP_OF_PB2C, N6, , +, 
96, PB3A, IO, 5, -, TRUE_OF_PB3B, T2, , +, 
97, PB3B, IO, 5, -, COMP_OF_PB3A, T3, , +, 
98, VCC, , , -, , VCC, , +, 
99, PB3C, IO, 5, -, TRUE_OF_PB3D, R4, , +, 
100, PB3D, IO, 5, -, COMP_OF_PB3C, R5, , +, 
101, PB4A, IO, 5, -, TRUE_OF_PB4B, P5, , +, 
102, PB4B, IO, 5, -, COMP_OF_PB4A, P6, , +, 
103, PB4C, IO, 5, -, TRUE_OF_PB4D, T5, , +, 
104, TDO, O, 5, TDO, , M6, , +, 
105, PB4D, IO, 5, -, COMP_OF_PB4C, T4, , +, 
106, PB5A, IO, 5, -, TRUE_OF_PB5B, R6, , +, 
107, GNDIO5, , , -, , GND, , -, 
108, VCCIO5, , 5, VCCJ, , VCCIO5, , -, 
109, PB5B, IO, 5, -, COMP_OF_PB5A, T6, , -, 
110, PB5C, IO, 5, -, TRUE_OF_PB5D, -, , -, 
111, PB5D, IO, 5, -, COMP_OF_PB5C, -, , -, 
112, TDI, I, 5, TDI, , N7, , -, 
113, PB6A, IO, 5, -, TRUE_OF_PB6B, T8, , -, 
114, PB6B, IO, 5, -, COMP_OF_PB6A, T7, , -, 
115, PB6C, IO, 5, -, TRUE_OF_PB6D, -, , -, 
116, PB6D, IO, 5, -, COMP_OF_PB6C, -, , -, 
117, PB7A, IO, 5, -, TRUE_OF_PB7B, -, , -, 
118, VCC, , , -, , VCC, , -, 
119, PB7B, IO, 5, -, COMP_OF_PB7A, -, , -, 
120, PB7C, IO, 5, -, TRUE_OF_PB7D, M7, , -, 
121, PB7D, IO, 5, -, COMP_OF_PB7C, M8, , -, 
122, PB8A, IO, 5, -, TRUE_OF_PB8B, -, , -, 
123, PB8B, IO, 5, -, COMP_OF_PB8A, -, , -, 
124, VCCAUX, , , -, , T9, , -, 
125, PB8C, IO, 5, -, TRUE_OF_PB8D, R7, , -, 
126, PB8D, IO, 5, -, COMP_OF_PB8C, R8, , -, 
127, VCCIO5, , 5, VCCJ, , VCCIO5, , -, 
128, GNDIO5, , , -, , GND, , +, 
129, PB8E, IO, 5, -, TRUE_OF_PB8F, -, , +, 
130, PB8F, IO, 5, -, COMP_OF_PB8E, -, , +, 
131, -, , , -, , -, , +, 
132, PB9A, IO, 4, -, TRUE_OF_PB9B, P7, , -, 
133, PB9B, IO, 4, -, COMP_OF_PB9A, P8, , -, 
134, PB9C, IO, 4, -, TRUE_OF_PB9D, -, , -, 
135, PB9D, IO, 4, -, COMP_OF_PB9C, -, , -, 
136, PB10F, IO, 4, PCLKT4_1, COMP_OF_PB10E, N9, , -, 
137, PB10E, IO, 4, -, TRUE_OF_PB10F, N8, , -, 
138, PB10D, IO, 4, -, COMP_OF_PB10C, P10, , -, 
139, PB10C, IO, 4, -, TRUE_OF_PB10D, P9, , -, 
140, PB10B, IO, 4, PCLKT4_0, COMP_OF_PB10A, M9, , -, 
141, VCCIO4, , 4, -, , VCCIO4, , -, 
142, GNDIO4, , , -, , GND, , +, 
143, PB10A, IO, 4, -, TRUE_OF_PB10B, M10, , +, 
144, PB11A, IO, 4, -, TRUE_OF_PB11B, -, , +, 
145, PB11B, IO, 4, -, COMP_OF_PB11A, -, , +, 
146, GND, , , -, , -, , -, 
147, PB11C, IO, 4, -, TRUE_OF_PB11D, R9, , -, 
148, PB11D, IO, 4, -, COMP_OF_PB11C, R10, , -, 
149, PB12A, IO, 4, -, TRUE_OF_PB12B, T10, , -, 
150, PB12B, IO, 4, -, COMP_OF_PB12A, T11, , -, 
151, PB12C, IO, 4, -, TRUE_OF_PB12D, N10, , -, 
152, PB12D, IO, 4, -, COMP_OF_PB12C, N11, , -, 
153, PB12E, IO, 4, -, TRUE_OF_PB12F, -, , -, 
154, VCCIO4, , 4, -, , VCCIO4, , -, 
155, GNDIO4, , , -, , GND, , +, 
156, PB12F, IO, 4, -, COMP_OF_PB12E, -, , +, 
157, PB13A, IO, 4, -, TRUE_OF_PB13B, R11, , +, 
158, PB13B, IO, 4, -, COMP_OF_PB13A, R12, , +, 
159, PB13C, IO, 4, -, TRUE_OF_PB13D, P11, , +, 
160, PB13D, IO, 4, -, COMP_OF_PB13C, P12, , +, 
161, PB14A, IO, 4, -, TRUE_OF_PB14B, T13, , +, 
162, PB14B, IO, 4, -, COMP_OF_PB14A, T12, , +, 
163, PB14C, IO, 4, -, TRUE_OF_PB14D, R13, , +, 
164, GND, , , -, , GND, , -, 
165, PB14D, IO, 4, -, COMP_OF_PB14C, R14, , -, 
166, PB15A, IO, 4, -, TRUE_OF_PB15B, T14, , -, 
167, PB15B, IO, 4, -, COMP_OF_PB15A, T15, , -, 
168, SLEEPN/NC, I, , SLEEPN/NC, , P13, , -, 
169, -, , , -, , -, , -, 
170, PB15D, IO, 4, -, , P14, , -, 
171, PB16A, IO, 4, -, TRUE_OF_PB16B, R15, , -, 
172, PB16B, IO, 4, -, COMP_OF_PB16A, R16, , -, 
173, PB16C, IO, 4, -, TRUE_OF_PB16D, P15, , -, 
174, PB16D, IO, 4, -, COMP_OF_PB16C, P16, , -, 
175, VCCIO4, , 4, -, , VCCIO4, , -, 
176, GNDIO4, , , -, , GND, , +, 
177, -, , , -, , -, , +, 
178, -, , , -, , -, , +, 
179, GNDIO3, , , -, , GND, , -, 
180, VCCIO3, , 3, -, , VCCIO3, , -, 
181, PR20B, IO, 3, -, COMP_OF_PR20A, M11, , -, 
182, PR20A, IO, 3, -, TRUE_OF_PR20B, L11, , -, 
183, PR19B, IO, 3, -, COMP_OF_PR19A, -, , -, 
184, PR19A, IO, 3, -, TRUE_OF_PR19B, -, , -, 
185, PR18B, IO, 3, -, COMP_OF_PR18A(LVDS)*, N12, , -, 
186, PR18A, IO, 3, -, TRUE_OF_PR18B(LVDS)*, N13, , -, 
187, PR17D, IO, 3, -, COMP_OF_PR17C, M13, , -, 
188, PR17C, IO, 3, -, TRUE_OF_PR17D, M12, , -, 
189, PR17B, IO, 3, -, COMP_OF_PR17A(LVDS)*, N14, , -, 
190, VCC, , , -, , VCC, , -, 
191, PR17A, IO, 3, -, TRUE_OF_PR17B(LVDS)*, N15, , -, 
192, PR16D, IO, 3, -, COMP_OF_PR16C, L13, , -, 
193, PR16C, IO, 3, -, TRUE_OF_PR16D, L12, , -, 
194, PR16B, IO, 3, -, COMP_OF_PR16A(LVDS)*, M14, , -, 
195, VCCIO3, , 3, -, , VCCIO3, , -, 
196, GNDIO3, , , -, , GND, , +, 
197, PR16A, IO, 3, -, TRUE_OF_PR16B(LVDS)*, L14, , +, 
198, PR15D, IO, 3, -, COMP_OF_PR15C, N16, , +, 
199, PR15C, IO, 3, -, TRUE_OF_PR15D, M16, , +, 
200, PR15B, IO, 3, -, COMP_OF_PR15A(LVDS)*, M15, , +, 
201, PR15A, IO, 3, -, TRUE_OF_PR15B(LVDS)*, L15, , +, 
202, PR14D, IO, 3, -, COMP_OF_PR14C, L16, , +, 
203, PR14C, IO, 3, -, TRUE_OF_PR14D, K16, , +, 
204, PR14B, IO, 3, -, COMP_OF_PR14A(LVDS)*, K13, , +, 
205, PR14A, IO, 3, -, TRUE_OF_PR14B(LVDS)*, J13, , +, 
206, GND, , , -, , GND, , -, 
207, PR13D, IO, 3, -, COMP_OF_PR13C, K14, , -, 
208, PR13C, IO, 3, -, TRUE_OF_PR13D, J14, , -, 
209, PR13B, IO, 3, -, COMP_OF_PR13A(LVDS)*, K15, , -, 
210, PR13A, IO, 3, -, TRUE_OF_PR13B(LVDS)*, J15, , -, 
211, PR12D, IO, 3, -, COMP_OF_PR12C, -, , -, 
212, PR12C, IO, 3, -, TRUE_OF_PR12D, -, , -, 
213, PR12B, IO, 3, -, COMP_OF_PR12A(LVDS)*, -, , -, 
214, PR12A, IO, 3, -, TRUE_OF_PR12B(LVDS)*, -, , -, 
